index,year,authors,title,journal,volume,pages,doi
19,In Press,"Ryder, F.J., Pearman, W.S., Layton, C., Parvizi, E., Johnson, C., Bellgrove, A. & Fraser, C.I.","Contrasting patterns of population structure in two habitat-forming kelp species in southeastern Australia",Journal of Phycology,,,10.1111/jpy.70140
18,2026,"Kroos, G.C., Fernandes, K., Seddon, P., Ashcroft, T., Pearman, W.S. & Gemmell, N.J.","Targeted Airborne eDNA of an Invasive Wallaby: Effects of Sampler Type, Distance, and Environmental Conditions",Environmental DNA,"8(1)",e70240,10.1002/edn3.70240
17,2025,"Pillay, P., dos Remedios, N., Pearman, W.S., Santure, A.W. & Allen, M.S.","Bones, barcodes, and biodiversity: Optimising bulk bone metabarcoding analysis for tropical subfossil collections from Polynesia",Quaternary International,,110099,10.1016/j.quaint.2025.110099
16,2025,"Pearman, W.S., Rodrigo, A.G. & Santure, A.W.","Within-host microbial selection and multiple microbial generations buffer the loss of host fitness under environmental change",FEMS Microbiology Ecology,,fiaf089,10.1093/femsec/fiaf089
15,2025,"Morales, S.E., Tobias-Hünefeldt, S.P., Armstrong, E., Pearman, W.S. & Bogdanov, K.","Marine phytoplankton impose strong selective pressures on in vitro microbiome assembly, but drift is the dominant process",ISME Communications,"5(1)",ycaf001,10.1093/ismeco/ycaf001
14,2024,"Pearman, W.S., Duffy, G.A., Smith, R.O., Currie, K.I., Gemmell, N.J., Morales, S.E. & Fraser, C.I.","Host dispersal relaxes selective pressures in rafting microbiomes and triggers successional changes",Nature Communications,"15(1)",10759,10.1038/s41467-024-54954-z
13,2024,"Pearman, W.S., Arranz, V., Carvajal, J.I., Whibley, A., Liau, Y., Johnson, K., Gray, R., Treece, J.M., Gemmell, N.J., Liggins, L., Fraser, C.I., Jensen, E.L. & Green, N.J.",A cry for kelp: Evidence for polyphenolic inhibition of Oxford Nanopore sequencing of brown algae,Journal of Phycology,"60(6)",1601-1610,10.1111/jpy.13513
12,2024,"Pearman, W.S., Duffy, G.A., Gemmell, N.J., Morales, S.E. & Fraser, C.I.",Long-distance movement dynamics shape host microbiome richness and turnover,FEMS Microbiology Ecology,,fiae089,10.1093/femsec/fiae089
11,2024,"Pearman, W.S., Adams, C.I.M., Monteiro, M., Quesada, A. & Fraser, C.I.",Fine-scale phylogenetic diversity gradients support the Antarctic geothermal refugia hypothesis,Antarctic Science,,1-8,10.1017/S0954102024000099
10,2024,"Pearman, W.S., Morales, S.E., Vaux, F., Gemmell, N.J. & Fraser, C.I.",Host population crashes disrupt the diversity of associated marine microbiomes,Environmental Microbiology,"26(3)",e16611,10.1111/1462-2920.16611
9,2024,"Pearman, W.S., Duffy, G.A., Liu, X.P., Gemmell, N.J., Morales, S.E. & Fraser, C.I.",Macroalgal microbiome biogeography is shaped by environmental drivers rather than geographical distance,Annals of Botany,"133(1)",169-182,10.1093/aob/mcad151
8,2024,"Thompson, B., Atsawawaranunt, K., Nehmens, M.C., Pearman, W.S., Perkins, E.O., Pipek, P., Rollins, L.A., Tan, H.Z., Whibley, A., Santure, A.W. & Stuart, K.C.",Population Genetics and Invasion History of the European Starling Across Aotearoa New Zealand,Molecular Ecology,,e17579,10.1111/mec.17579
7,2022,"Pearman, W.S., Urban, L. & Alexander, A.",Commonly used Hardy-Weinberg equilibrium filtering schemes impact population structure inferences using RADseq data,Molecular Ecology Resources,"22(7)",2599-2613,10.1111/1755-0998.13646
6,2022,"Liu, X.P., Duffy, G.A., Pearman, W.S., Pertierra, L.R. & Fraser, C.I.",Meta-analysis of Antarctic phylogeography reveals strong sampling bias and critical knowledge gaps,Ecography,"2022(12)",e06312,10.1111/ecog.06312
5,2022,"Fraser, C.I., Dutoit, L., Morrison, A.K., Pardo, L.M., Smith, S.D.A., Pearman, W.S., Parvizi, E., Waters, J. & Macaya, E.C.","Southern Hemisphere coasts are biologically connected by frequent, long-distance rafting events",Current Biology,"32(14)","3154-3160.e3",10.1016/j.cub.2022.05.035
4,2022,"Pearman, W.S., Wells, S.J., Dale, J., Silander, O.K. & Freed, N.E.",Long-read sequencing reveals atypical mitochondrial genome structure in a New Zealand marine isopod,Royal Society Open Science,"9(1)",211550,10.1098/rsos.211550
3,2020,"Pearman, W.S., Wells, S.J., Silander, O.K., Freed, N.E. & Dale, J.",Concordant geographic and genetic structure revealed by genotyping-by-sequencing in a New Zealand marine isopod,Ecology and Evolution,"10(24)",13624-13639,10.1002/ece3.6802
2,2020,"Arranz, V., Pearman, W.S., Aguirre, J.D. & Liggins, L.","MARES, a replicable pipeline and curated reference database for marine eukaryote metabarcoding",Scientific Data,"7(1)",209,10.1038/s41597-020-0549-9
1,2020,"Pearman, W.S., Freed, N.E. & Silander, O.K.",Testing the advantages and disadvantages of short- and long-read eukaryotic metagenomics using simulated reads,BMC Bioinformatics,"21(1)",1-15,10.1186/s12859-020-3528-4
